,_id,favorites,geo,hashtags,id,mentions,retweets,text,user
224,598506c476d31349b060b2f8,0,,,892209444771254272,@Metaspoon,0,Man Films Ocean During Thunderstorm . And Captured Footage Is Sending Chills Down Everyone’s Spine. http://www. metaspoon.com/ocean-thunders torm?so=pgshM& … via @Metaspoon,2nikkiclick
225,598506c676d31349b060b2f9,0,,,893248930917617664,,0,Lightning McCree,cerabeekman
226,598506c676d31349b060b2fa,1,,,893189337650794496,,0,If the universe struck me with lightning rn do you think I would be able to not take my exam and my professor would give me a 100?,whitehead_liz
227,598506c676d31349b060b2fb,0,,#flwx #news,893176601973862400,,0,Strong T-Storm Near Hastings Moving NE At 20 MPH. Excessive Cloud-to-ground Lightning & Wind Gusts... #flwx #news http://www. simpleweatheralert.com/cgi-bin/weathe rdetail.py?l=FL1258618EFB40.SpecialWeatherStatement.1258618F18F0FL.JAXSPSJAX.d80bcc22dc98f45abd9894ca93a3c21a&a=012&t=0 …,SimpleWeatherFL
228,598506c676d31349b060b2fc,0,,,893149259519975424,,0,Lightning Dragon Breeder! I just bred a Lightning Dragon in DragonVale! Visit my park to check it out! http:// bit.ly/A7Dtgj,13_nike_boii_13
229,598506c676d31349b060b2fd,0,,,893138036581650433,,0,"Oh, and now I broke my only lightning cable. pic.twitter.com/n7MtERByLq",jasonpinero
230,598506c676d31349b060b2fe,0,,,893133246686474240,@myleftfang,0,"@myleftfang my new buddy Lightning just moved in with me, he offers his admiration to You pic.twitter.com/v17jNJfuJU",velvetkitty
231,598506c676d31349b060b2ff,0,,,893123897377398784,@YouTube @Hard,0,"I added a video to a @YouTube playlist http:// youtu.be/5Pn0loFlqBw?a .38 Special ""Chain Lightning "" @Hard Rock Casino Biloxi",metalman1767
232,598506c676d31349b060b300,55,,#GoBolts,893105945097760768,@TBLightning,3,Happy Thursday everyone. Here's my little man. Future @TBLightning player :-) Peyton loves his Lightning . #GoBolts pic.twitter.com/4VcmVbkhqy,bunnyshifter
233,598506c676d31349b060b301,0,,,893066253014900737,,0,I had a dream that I woke up from a lightning strike in a dream. then it happened again. and now im actually awake and there's lightning .,Its_Wrath_Hi
234,598506c676d31349b060b302,0,,#lightning,893065218888269824,,0,Wow when #lightning hits water boom http:// fb.me/10641BQa4,schnauzerhouzer
235,598506c676d31349b060b303,0,,,892875945186656260,,0,Our friends at Cape Coral (FL) Police have sent out this warning re regarding a new telephone scam involving LCEC.,BLPpatrol
236,598506c676d31349b060b304,0,,,892837224500408320,,0,When lightning strikes really close to your house and you jump outta your chair.,TDRLetsPlay
237,598506c676d31349b060b305,0,,#giveaway,892829043661393920,,0,"Wow! I just entered for a chance to win ""Syncwire iPhone Charger Lightning Cable - [Apple..."" by Syncwire. https:// giveaway.amazon.com/p/14b0650cd747 7e14/?ref_=tsm_4_tw_p_tw … #giveaway",aFatFattyCake
238,598506c676d31349b060b306,0,,#Gators,892826579423952896,,0,"Mac called #Gators C T.J. McCoy a "" lightning rod"" for OL last season. Cited energy, drive to play.",ByAndrewOlson
239,598506c676d31349b060b307,0,,,892804363873374208,@YouTube,0,I liked a @YouTube video http:// youtu.be/IpBExGIiO2M?a Dads With Lightning Fast Reflexes Compilation,DoelynDoe
240,598506c676d31349b060b308,10,,#CrystalRiver #Florida #Tampa #Florida,892798097067307008,,1,"Lightning in #CrystalRiver #Florida now near our home! Picture by LucyAnn Cenicola. #Tampa #Florida "" Lightning Capital of the World"" pic.twitter.com/IHCiX2Ga4R",NativeTatanka
